,,,,
Timestamp,What is your sex?,What hour do you wake up in the morning?,How long (in minutes) do you spend in the shower?,"How long (in minutes) does it take for you to get ready in the morning before leaving your house?
Consider: shower, makeup, getting dressed, hair, etc."
10/30/2023 14:40:16,Male,Before 4:00,10,60
10/30/2023 14:42:16,Male,8:00 - 8:59,25,60
10/30/2023 14:43:13,Female,8:00 - 8:59,30,45
10/30/2023 14:43:58,Male,6:00 - 6:59,1,30
10/30/2023 14:44:46,Female,12:00 or later,99.99,199.99998
10/30/2023 14:46:32,Female,7:00 - 7:59,45,1
10/30/2023 14:52:00,Male,7:00 - 7:59,20,30
10/30/2023 14:54:16,Female,4:00 - 4:59,20,40
10/30/2023 15:04:04,Female,6:00 - 6:59,20,60
10/30/2023 15:20:06,Female,6:00 - 6:59,15,32
10/30/2023 15:23:34,Male,5:00 - 5:59,30,60
10/30/2023 15:23:58,Female,4:00 - 4:59,20,80
10/30/2023 15:25:06,Male,6:00 - 6:59,30,60
10/30/2023 15:26:00,Male,10:00 - 10:59,20,1
10/30/2023 15:29:26,Female,6:00 - 6:59,22,40
10/30/2023 15:36:13,Male,7:00 - 7:59,30,20
10/30/2023 16:15:24,Male,6:00 - 6:59,10,30
10/30/2023 18:58:28,Female,6:00 - 6:59,10,30
10/30/2023 19:00:10,Female,10:00 - 10:59,15,15
10/30/2023 19:04:04,Male,6:00 - 6:59,20,20
10/30/2023 19:04:23,Female,7:00 - 7:59,15,45
10/30/2023 19:04:33,Female,8:00 - 8:59,35,90
10/30/2023 19:04:36,Female,8:00 - 8:59,20,90
10/30/2023 19:05:47,Female,9:00 - 9:59,1,90
10/30/2023 19:13:24,Female,7:00 - 7:59,12,60
10/30/2023 19:24:53,Female,Before 4:00,10,40
10/30/2023 19:33:49,Female,6:00 - 6:59,10,80
10/30/2023 19:35:25,Female,6:00 - 6:59,10,90
10/30/2023 19:55:29,Male,12:00 or later,15,2
10/30/2023 19:55:38,Female,7:00 - 7:59,25,120
10/30/2023 20:25:05,Female,8:00 - 8:59,15,60
10/30/2023 20:33:12,Male,7:00 - 7:59,15,5
10/30/2023 20:48:55,Male,12:00 or later,15,45
10/30/2023 20:54:43,Female,8:00 - 8:59,40,20
10/30/2023 20:58:24,Female,Before 4:00,25,30
10/30/2023 21:13:18,Female,6:00 - 6:59,15,30
10/30/2023 21:14:12,Male,4:00 - 4:59,15,20
10/30/2023 21:15:46,Female,6:00 - 6:59,5,30
10/30/2023 21:16:10,Female,6:00 - 6:59,25,10
10/30/2023 21:16:35,Female,7:00 - 7:59,10,45
10/30/2023 21:16:54,Female,8:00 - 8:59,5,20
10/30/2023 21:17:14,Female,5:00 - 5:59,10,25
10/30/2023 21:17:50,Female,6:00 - 6:59,15,35
10/30/2023 21:18:12,Female,7:00 - 7:59,5,15
10/30/2023 21:18:28,Female,5:00 - 5:59,10,45
10/30/2023 21:18:51,Female,4:00 - 4:59,15,45
10/30/2023 21:20:39,Female,6:00 - 6:59,10,30
10/30/2023 21:20:57,Female,5:00 - 5:59,10,25
10/30/2023 21:21:17,Female,6:00 - 6:59,15,35
10/30/2023 21:21:34,Female,7:00 - 7:59,5,25
10/30/2023 21:22:05,Female,6:00 - 6:59,10,40
10/30/2023 21:22:25,Female,6:00 - 6:59,10,30
10/30/2023 21:23:22,Female,5:00 - 5:59,10,25
10/30/2023 21:23:53,Female,4:00 - 4:59,10,35
10/30/2023 21:24:13,Female,5:00 - 5:59,5,15
10/30/2023 21:24:26,Female,6:00 - 6:59,10,25
10/30/2023 21:26:49,Male,7:00 - 7:59,10,10
10/30/2023 21:27:01,Male,6:00 - 6:59,30,15
10/30/2023 21:27:15,Male,5:00 - 5:59,10,15
10/30/2023 21:27:32,Male,4:00 - 4:59,10,10
10/30/2023 21:27:46,Male,5:00 - 5:59,5,15
10/30/2023 21:28:02,Male,5:00 - 5:59,10,15
10/30/2023 21:28:27,Male,6:00 - 6:59,5,10
10/30/2023 21:28:41,Male,5:00 - 5:59,10,10
10/30/2023 21:28:57,Male,4:00 - 4:59,5,15
10/30/2023 21:29:07,Male,6:00 - 6:59,5,10
10/30/2023 21:31:06,Male,7:00 - 7:59,20,35
10/30/2023 21:41:39,Male,7:00 - 7:59,15,15
